Audience Code,Audience Name,Audience Active,Audience Description
LMS_Leadership_Courses_-_Stratford_(Kinto),LMS Leadership Courses - Stratford (Kinto),1,"Audience for Percipio access and course assignment for Kinto leadership development. Supervisor, Manager, and above. Stratford only."
LMS_Training_Request_Access,LMS Training Request Access,1,An audience for additional access to the LMS training request system.
LMS_Training_Request_Access_(AGGFS),LMS Training Request Access (AGGFS),1,This Audience have LMS Training Request Access (AGGFS) Users only.
LMS_Training_Request_Access_(AGGKY),LMS Training Request Access (AGGKY),1,LMS training request access for AGGKY.
LMS_Training_Request_Access_(AGGNA),LMS Training Request Access (AGGNA),1,LMS Training Request Access for AGGNA members.
Maintenance_Connection_(Tech_Level),Maintenance Connection (Tech Level),1,"Maintenance Team Member (I, II, III, IV), Shift Leaders, and Tool & Die Makers in Dept. 5040, 5041, 5042, and 5043"
Manager Report Audience,Manager Report Audience,1,Audience for ability to run Manager's Report DO NOT MAKE CHANGES
Manager_Only_Reporting_Audience_(AGGMO),Manager Only Reporting Audience (AGGMO),1,Managers only reporting audience for AGGMO.
Masayuki_Kanamori_Direct_Training,Masayuki Kanamori Direct Training,1,Training audience for specific assignment per Rhonda for TX Paint Advisor
Material_Handling_(Hazmat),Material Handling (Hazmat),1,Individuals in Planning and Receiving Department who receive and handle hazardous materials.
Material_Handling_(Hazmat)_Procedure,Material Handling (Hazmat) Procedure,1,Production Management
Material_Handling_Haz_Mat,Material Handling Haz Mat,1,Receiving material handlers
Material_Marking,Material Marking,1,This Audience have Material Marking Users only.
Mentor_Certification,Mentor Certification,1,Mentors designated for new hires.
Middle_Management_Training_(MMT),Middle Management Training (MMT),1,Assistant Managers____ Managers____ Assistant GM's
Kinto,Kinto,1,This Audience have Kinto Users only.
Kinto - Antitrust Compliance Oath,Antitrust Compliance Oath,1,All salaried employees (job titles)
Kinto - Benefits Orientation,Intro to AGG - Benefits Orientation,1,New full-time direct hires
Kinto - Benefits Orientation (REHIRE),Intro to AGG - Benefits Orientation (REHIRE),1,Rehires who were gone for 1 year or longer
Kinto - Bribery Guidelines,Bribery Guidelines,1,"AGM, GM, SR GM"
Kinto - Business Conduct Agreement,Business Conduct Agreement,1,All salaried employees
Kinto - COVID-19 Vaccination Survey,COVID-19 Vaccination Survey - Kinto,1,Assigned to all users of AGG Kinto.
Kinto - Electrical Safety,Electrical Safety,1,Engineering____ Maintenance____ TPS
Kinto - First Aid,First Aid Certification,1,This Audience have First Aid Certification Users only.
Kinto - Forklift,Forklift Certification (Kinto),1,This Audience have Forklift Certification (Kinto) Users only.
