Topic Code,Parent topic code,TopicName
Microsoft_Azure_Certified_Expert,Microsoft,Microsoft Azure Certified Expert
Microsoft_Azure_Certified_Fundamentals,Microsoft,Microsoft Azure Certified Fundamentals
Microsoft_Certified_Associate,Microsoft,Microsoft Certified Associate
Microsoft_Certified_Fundamentals,Microsoft,Microsoft Certified Fundamentals
Microsoft_Certified_Solutions_Associate_(MCSA),Microsoft,Microsoft Certified Solutions Associate (MCSA)
Microsoft_Excel,Microsoft_Office/Office_365,Microsoft Excel
Microsoft_Office,Certifications,Microsoft Office
Microsoft_Office,Productivity_&_Collaboration_Tools,Microsoft Office
Microsoft_Office/Office_365,Software,Microsoft Office/Office 365
Microsoft_Office_Specialist_(MOS),Microsoft_Office,Microsoft Office Specialist (MOS)
Microsoft_Outlook,Microsoft_Office/Office_365,Microsoft Outlook
Microsoft_Powerpoint,Microsoft_Office/Office_365,Microsoft Powerpoint
MicrosoftOffice2016,DesktopSkills,Microsoft Office 2016
MicrosoftOffice365,DesktopSkills,Microsoft Office 365
mind_02,FoodAlcoholSafetyUK,Food Allergies And Intolerance
mind_08,Healafetyition6,First Aid Awareness
mind_16,Healafetyition6,Fire Safety Awareness
mind_17,WorkceComition12,Equality and Diversity Awareness
mind_26,WorkceComition12,Disability Discrimination Awareness
Mobile_Development,Programming,Mobile Development
Muda,Topics,Muda
Network_Operations,Infrastructure_&_Operations,Network Operations
NEW_-_Azure,Cloud_Services,NEW - Azure
NEW_-_Office_365_Administration,Cloud_Services,NEW - Office 365 Administration
NICE_Framework,Percipio,NICE Framework
NICE_Framework,Topics,NICE Framework
NICE_Work_Roles,NICE_Framework,NICE Work Roles
Open Sesame,Topics,Open Sesame
Operations,AWS,Operations
Oracle,Certifications,Oracle
Outlook,English,Outlook
pd_30,WorkLifeBalance2,Improving Your Work/Life Balance
pd_31,AdaptingtoChange1,Navigating through Organizational Change
pd_32,Timeagemeivity1,Improving Your Personal Productivity
pe_03,Profionaltials1,Perseverance at Work
Percipio,Topics,Percipio
Personal_Accountability,Professional_Improvement,Personal Accountability
Personal_Productivity,Professional_Improvement,Personal Productivity
Perspectives,Percipio,Perspectives
Perspectives,Topics,Perspectives
PM,Aspire_Journeys_for_Technology_&_Developer,PM
Podcast_Episode_Menu,Skillsoft’s_The_Edge_Podcast,Podcast Episode Menu
Policies_&_Procedures,Topics,Policies & Procedures
Portuguese,Safety,Portuguese
PowerPoint,English,PowerPoint
Presentation_Skills,Communication,Presentation Skills
Presentation_Software,Software,Presentation Software
PRINCE2®,Certifications,PRINCE2®
Problem_Solving,Topics,Problem Solving
Process_Improvement,Business_Operations,Process Improvement
Product_Management,Percipio,Product Management
Product_Management,Topics,Product Management
Product_Management_Skills,Product_Management,Product Management Skills
Product_Marketing,Sales_&_Marketing,Product Marketing
Production_Preparation_Process,Topics,Production Preparation Process
Productivity_&_Collaboration_Tools,Percipio,Productivity & Collaboration Tools
Productivity_&_Collaboration_Tools,Topics,Productivity & Collaboration Tools
Productivity_&_Wellness,Skillsoft_Leadercamps,Productivity & Wellness
Productivity_Tools,Productivity_&_Collaboration_Tools,Productivity Tools
Professional,Cisco,Professional
Professional,Google,Professional
Professional,Oracle,Professional
Professional_Improvement,Percipio,Professional Improvement
Professional_Improvement,Topics,Professional Improvement
Profionaleness,BusinessSkills1,Professional Effectiveness
Profionaltials1,Profionaleness,Professional Essentials
Programming,Aspire_Journeys_for_Technology_&_Developer,Programming
Programming,Percipio,Programming
Programming,Technology,Programming
Programming,Topics,Programming
Programming_Languages,Programming,Programming Languages
Project_Management,Percipio,Project Management
Project_Management,Project_Management_Institute_(PMI)®,Project Management
Project_Management,Topics,Project Management
Project_Management_Bootcamps,Skillsoft_Bootcamps,Project Management Bootcamps
Project_Management_Core_Concepts,Project_Management,Project Management Core Concepts
Project_Management_Institute_(PMI)®,Certifications,Project Management Institute (PMI)®
Project_Management_Methods,Project_Management,Project Management Methods
Project_Sheets,SCP_Resources,Project Sheets
Pursue_a_Cloud_Skill,Cloud_Career_Journey,Pursue a Cloud Skill
Pursue_a_Cybersecurity_Job_Role,Cybersecurity_Career_Journey,Pursue a Cybersecurity Job Role
Pursue_a_Cybersecurity_Skill,Cybersecurity_Career_Journey,Pursue a Cybersecurity Skill
Pursue_a_Foundation_in_Cloud,Cloud_Career_Journey,Pursue a Foundation in Cloud
Pursue_a_GCP_Cloud_Job_Role,Cloud_Career_Journey,Pursue a GCP Cloud Job Role
Pursue_a_GCP_Senior-_Level_Certification,Cloud_Career_Journey,Pursue a GCP Senior- Level Certification
Pursue_a_Senior_Level_Certification,Cybersecurity_Career_Journey,Pursue a Senior Level Certification
Pursue_an_Agile_Certification,Agile_Career_Journey,Pursue an Agile Certification
Pursue_an_Agile_Job_Role,Agile_Career_Journey,Pursue an Agile Job Role
Pursue_an_AWS_Cloud_Job_Role,Cloud_Career_Journey,Pursue an AWS Cloud Job Role
Pursue_an_AWS_Senior-Level_Certification,Cloud_Career_Journey,Pursue an AWS Senior-Level Certification
Pursue_an_Azure_Cloud_Job_Role,Cloud_Career_Journey,Pursue an Azure Cloud Job Role
Pursue_an_Azure_Senior-Level_Certification,Cloud_Career_Journey,Pursue an Azure Senior-Level Certification
Put_it_Together:_First_Time_Manager_Capstone,_First_Time_Manager_Career_Journey,Put it Together: First Time Manager Capstone
Put_it_Together:_First_Time_Manager_Capstone,First_Time_Manager_Career_Journey,Put it Together: First Time Manager Capstone
QC_Circle,Topics,QC Circle
Quality,Topics,Quality
Quick_Changeover,Topics,Quick Changeover
Red_Hat,Certifications,Red Hat
Reference,Topics,Reference
Safety,Topics,Safety
Sales_&_Marketing,Percipio,Sales & Marketing
Sales_&_Marketing,Topics,Sales & Marketing
Salesforce_&_Channel_Management,Sales_&_Marketing,Salesforce & Channel Management
Sample_Content,Percipio,Sample Content
Sample_Content,Sample_Content,Sample Content
Sample_Content,Topics,Sample Content
SAS,Certifications,SAS
Scale_Agile_for_Large_or_Multiple_Teams,Agile_Career_Journey,Scale Agile for Large or Multiple Teams
SCP_Resources,Topics,SCP Resources
Secure_Programming,Programming,Secure Programming
Security,Aspire_Journeys_for_Technology_&_Developer,Security
Security,Cloud,Security
Security,Percipio,Security
Security,Topics,Security
Security_Bootcamps,Skillsoft_Bootcamps,Security Bootcamps
