JOB_CODE,JOB_NAME,created By EmployeeID,JOB_DESC
IMX000860,Líder Senior de vacuum forming,DefaultAdmin,This Job is for Líder Senior de vacuum forming Users only
IMX000861,Supervisor de Ingenieria de Equipo,DefaultAdmin,This Job is for Supervisor de Ingenieria de Equipo Users only
IMX000862,Supervisor de Tacoma Interior,DefaultAdmin,This Job is for Supervisor de Tacoma Interior Users only
IMX000863,Supervisor Senior de Pintura,DefaultAdmin,This Job is for Supervisor Senior de Pintura Users only
IMX000866,Técnico Residente de Calidad,DefaultAdmin,This Job is for Técnico Residente de Calidad Users only
IMX000868,Técnico de Proyectos,DefaultAdmin,This Job is for Técnico de Proyectos Users only
IMX000970,Ingeniero de Ensamble,DefaultAdmin,This Job is for Ingeniero de Ensamble Users only
IMX000972,Gerente de Proyectos de AGGNA,DefaultAdmin,This Job is for Gerente de Proyectos de AGGNA Users only
IMX000973,Líder Junior de Vacuum,DefaultAdmin,This Job is for Líder Junior de Vacuum Users only
IMX000974,Operador de Tacoma Exterior,DefaultAdmin,This Job is for Operador de Tacoma Exterior Users only
IMX000975,Operador de Tacoma Interior,DefaultAdmin,This Job is for Operador de Tacoma Interior Users only
IMX000976,Operador Líder de Tacoma Exterior,DefaultAdmin,This Job is for Operador Líder de Tacoma Exterior Users only
IMX000977,Supervisor de TPS,DefaultAdmin,This Job is for Supervisor de TPS Users only
