ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
Percipio_d2e6fd82-a502-42d5-9ad8-d26cdf5fcad6,PMP ATP -January/February/March UK and APAC Cohort: Live Session 4,Document,Online Content,0,en-us,14400,,Click here to register for the Live session on February 8th at 9 AM GMT/7 PM AEST.,Customer Service,https://google.com
Percipio_d41c9a96-2c11-4695-8cf3-8405c8cb0c5c,PMP ATP -January/February/March UK and APAC Cohort: Live Session 1,Document,Online Content,0,en-us,14400,,Click here to register for the Live session on January 18th at 9 AM BST/6 PM AEST.,Data Analytics,https://google.com
Percipio_d428edc4-96d3-4ccc-8542-82c1298c8305,PMP ATP - November Cohort: Live Session 2,Document,Online Content,0,en-us,28800,,Click here to register for the Live session on November 9th at 10 AM Eastern.,Cloud Services,https://google.com
Percipio_d48ef089-bfd9-4e61-b032-2ee213687271,"Smartcuts: Accelerating Innovation, Managing Change, & Thinking Differently",Document,Online Content,0,en-us,3600,,"Breakthrough innovation happens when we rethink conventional wisdom. But how do you train yourself—or your organization—to think differently? How do you foster an environment where it’s safe to do so, where innovation can thrive without destroying your business? How do the world’s most clever companies manage to not only endure change, but harness it to climb to new heights? How do rocket makers and children’s hospitals stay alive in the face of market shifts and competitive challenges? What can established businesses learn from revolutionaries, crazy geniuses, and crackpot comedians to help manage changes big and small? In this clever and surprising Live Event, Snow debunks myths of success, shares unforgettable research and stories, and fires audiences up to 11. You will never think the same. You’ll learn to:•  Inspire intrapreneurship, and spur your team to think differently about their current challenges•  Get your group to work more innovatively – and get the naysayers on board with new ideas•  Leverage a framework for breakthrough problem solving with your team",Collaboration,https://google.com
Percipio_d56aacf8-0761-4345-90b4-8fbb02eceb6d,PMP ATP - October/November NA Cohort: Live Session 7,Document,Online Content,0,en-us,16200,,Click here to register for the Live session on November 23rd at 12 PM - 4:30 PM EDT.,Skills for Effective Collaboration,https://google.com
Percipio_d5d63aff-4655-4096-b841-d73fc71a8381,La pensée computationnelle,Document,Online Content,1,sv,,,"Dans ce document, vous trouverez l'ensemble des connaissances afin de définir ce qu'est la pensée computationnelle. Veuillez noter que les supports de cours comprennent du contenu provenant de sites web externes susceptibles de se trouver en dehors du réseau de votre entreprise. Veuillez consulter les politiques d'utilisation et de sécurité de votre département informatique concernant les restrictions d'accès au contenu de sites web externes.",Communications Skills,https://google.com
Percipio_d5eb0cd2-9e2e-4b07-971e-164e8d83237e,PMP ATP - May/June/July UK and APAC Cohort: Live Session 3,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on June 8th at 9 AM BST.,Business Operations,https://google.com
Percipio_d6054eb0-1d9b-45ea-a3e7-a3a2b90f15fb,First Time Manager Journey,Document,Online Content,1,en-us,,,"You are a first-time manager. Now what? Becoming a manager is one of the most critical transitions in your career, and poor leadership behaviors can take hold early. This leadership journey will deepen your understanding of what it takes to lead, develop, and achieve through others. You'll need confidence and passion as you develop your management style and earn respect from your team on your own accord.",Communication Essentials,https://google.com
Percipio_dab0d6da-94c2-4c71-8d5a-e00651356b1a,PMP ATP - September/October/November UK and APAC Cohort: Live Session 1,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on September 28th at 9 AM BST/6 PM AEST.,Cisco,https://google.com
Percipio_dab3ef90-d113-4545-9dcf-f28bd260abec,Digital Visionary Mindset Journey,Document,Online Content,1,en-us,,,"Today's leaders must become digitally literate, develop an adaptable mindset, and embrace new tools. And in conquering these digital challenges, they grow as leaders. There are always new devices, systems, and programs being developed. Here are tips to become digitally fluent.",Browsers & Operating Systems,https://google.com
Percipio_dc92fa13-6934-4ad3-8a0b-54da7d73feda,PMP ATP - July/August/September UK and APAC Cohort: Live Session 4,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on August 17th at 9 AM BST/6 PM AEST.,Cloud Career Journey,https://google.com
Percipio_dd03f56d-178b-49f1-aa05-127312a46d73,Marketing in the Digital World,Document,Online Content,1,en-us,,,"The growth of mobile devices and social media have dramatically changed how consumers interact online, and it's up to organizations to adapt. To get the most out of digital marketing, it's important to understand the vital fundamentals in digital marketing touchpoints and transformation including the consumer's behaviors and expectations in today's digital marketplace. Digital marketing refers to all of the marketing procedures your organization can use that utilize technology. Explore how to find a marketing strategy that works for you. Learn strategies to help optimize digital marketing in your organization.",Business Skills,https://google.com
Percipio_dd531756-5369-46a7-a7de-f1203afa81f8,Merchandiser Journey,Document,Online Content,1,en-us,,,"Merchandisers are responsible for merchandise strategies and marketing trends for retail stores. They analyze sales trends and work with customers to plan to fulfill merchandise orders. They can negotiate with customers with regards to product, price, quantities, and delivery. They can help set up shelf or promotional displays and help manage retail store inventory. They must build secure working relationships with suppliers, distributors, as well as retail store staff to ensure efficient flow of both products and information. Learn more about the skills and competencies required by Merchandisers. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Merchandiser.",Cal/OSHA,https://google.com
Percipio_dda34263-019a-45d0-a5c3-ada05a25a8bb,PMP ATP - October Cohort: Live Session 4,Document,Online Content,0,en-us,28800,,Click here to enter the Live session on October 28th at 10 AM Eastern.,Certifications,https://google.com
Percipio_e10274b5-ffae-4734-9d2f-513def45a093,CISSP January 2022 Bootcamp: Live Session 3,Document,Online Content,0,en-us,14400,,Click here to register for the live session on January 12th at 11 AM EST. In this session Michael Shannon will discuss information security.,Choose a Learning Journey that Fits my Goal,https://google.com
Percipio_e3b32963-2bee-4a74-9492-45632132affe,Harnessing the Power of Pressure: Building Resilience When It Matters Most,Document,Online Content,0,en-us,3600,,"It is often said that there are only two certainties in this world: death and taxes. Dane Jensen would argue that there’s a third: pressure. Pressure is an inevitable part of the human journey - of navigating work and family, pursuing goals, encountering setbacks, and growing. Dane has spent his career understanding pressure – what creates it, why it can lead to breakdowns, and what we can learn from those who channel pressure to breakthroughs. His research at the intersection of elite sport, academia, business, and Government has produced a straightforward equation for understanding pressure, and a series of habits that high performers use to perform and find joy under pressure. You’ll learn: •     The three components of the ‘pressure equation’: every high-pressure situation comes from a combination of three factors. Understanding these factors is the first step to harnessing the power of pressure. Once you can diagnose the root causes of pressure, you can begin to act.•     How to nail your peak pressure moments: in peak pressure moments like big presentations, exams, interviews or performances, our bodies are wired in ways that can sabotage us. We tense up, get tunnel vision, and miss key information. You’ll discover three habits you can build to escape the traps of biology and perform to your peak when it matters most.•     How to thrive over the long haul: the pressure of enduring a pandemic, tackling a major, multi-year project, or balancing work with young children is different than nailing a big sales call. People who understand how to perform under peak pressure and stay motivated through the long haul are unstoppable. Learning and mastering these skills will allow you to not only take advantage of the key moments that can define your career, but also to find joy along the journey of a high-pressure life.",Business,https://google.com
Percipio_e3e8fe32-4a2e-485e-9043-def941401630,Data Analysis for Business Professionals Bootcamp: Live Session 2,Document,Online Content,0,en-us,10800,,Click here to enter the live session on August 13th at 11 AM EDT.,Cisco Teams,https://google.com
Percipio_e401cdf9-d010-4fb8-b865-e3d8b3c69390,Advancing Meaningful Diversity In The Workplace,Document,Online Content,0,en-us,3600,,"The Live Session has now ended. The recording will be available soon.  In the meantime, we invite you to share your feedback by clicking Watch to launch the feedback survey.Many organizations state that they want more diversity.  However, we are often challenged to recognize is that the processes, norms, professionalism expectations, protocols, brands that we put in place may be working against advancing diversity in our workplace. This Leadercamp will review those barriers , provide recommendations for overcoming them, and will allow for ample time for attendees to ask questions.",Customer Service: Core Concepts & Methods,https://google.com
Percipio_e418edc4-4a75-4fec-acd2-7b455b4cacd1,Customer Success Manager Journey,Document,Online Content,1,en-us,,,"Companies want their customers to succeed, and Customer Success Managers can help customers achieve their goals. Learn more about the skills required by Customer Success Managers. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Customer Success Manager within organizations.",Managing a Crisis,https://google.com
Percipio_e42440c4-1f15-4199-819a-fe2685b55279,Data Science for Managers Bootcamp: Live Session 2,Document,Online Content,0,en-us,10800,,Click here to register for the live session on November 17th at 11 AM ET. In this session Nicolas Fernandez Lopez discusses the importance of data.,Customer Success,https://google.com
Percipio_e4a6fda8-7c57-47cf-86d3-aaa8f4b8aa2f,Overcoming Burnout in the (Nearly) Post-Pandemic Workplace,Document,Online Content,0,en-us,3600,,"The Live Session has now ended. The recording will be available soon. In the meantime, we invite you to share your feedback by clicking Watch to launch the feedback survey.   Do you feel like a salmon swimming upstream? Do you relate to “I Love Lucy” and the conveyor belt of chocolates? Has “I just can’t” become your motto?  You’re stressed and exhausted. Is it expected, given the past year? A problem that needs attention? Both? Clinical psychologist, anxiety specialist, and author of How to Be Yourself: Quiet Your Inner Critic and Rise Above Social Anxiety Dr. Ellen Hendriksen has you covered. This session will address: •  The three red flags of burnout•  The differences between burnout, anxiety, and depression•  How to heal from burnout•  The do’s and don’ts of self-care for burnout",Core Knowledge,https://google.com
Percipio_e59cebe2-ade7-41af-b2f1-24b3e4785142,Leadership Pathways: A Journey for ERG Leaders,Document,Online Content,1,en-us,,,"Employee Resource Groups foster community and provide support, education, and advocacy for members and allies of diverse communities. Employee leaders of these groups serve as catalysts for change, advocates and allies for each other, and influencers of organizational transformation. DEI Pathways is an Aspire Journey designed to help ERG leaders along their leadership journey, equipping them with the mindsets and skills to lead this invaluable work.",Collaboration Tools,https://google.com
Percipio_e64c3543-4ec3-4e89-b821-53a10d47e754,Seizing the Upside of Turbulence Leadercamp,Document,Online Content,0,en-us,5400,,"The Live Session has now ended. The recording will be available soon. In the meantime, we invite you to share your feedback by clicking Watch to launch the feedback survey. How do companies not only survive, but thrive in turbulent markets? This session will present key insights based on two decades of research on organizations that have successfully seized opportunities arising out of volatile markets.  The session will address: • The three types of organizational agility—and what’s required for each• How success can erode agility, and how to avoid that insidious dynamic• Practical tools to increase agility in your organization",Cloud Security,https://google.com
Percipio_e71a7206-208d-486e-84d7-1e89cd617cf1,Operations Research Analyst Journey,Document,Online Content,1,en-us,,,"Operations research analysts are expert problem solvers, who use their reasoning and problem-solving skills to determine the best solutions. Within an Organization, this means they can help with decision making for complex problems or increase efficiency. Operations research analysts use advanced mathematical and analytical methods to help organizations solve problems and make better decisions. Learn more about the skills required by an operations research analyst.",Data/ML Developer to AI Developer,https://google.com
Percipio_e752bdd1-d037-4f08-b5ef-22c65f74f1e5,PMP ATP - November Cohort: Live Session 4,Document,Online Content,0,en-us,28800,,Click here to register for the Live session on November 11th at 10 AM Eastern.,Collections,https://google.com
Percipio_e778e6af-8668-4f8f-b158-8d2d61af0f8c,CISSP January 2022 Bootcamp: Live Session 5,Document,Online Content,0,en-us,14400,,Click here to register for the live session on January 14th at 11 AM EST. In this session Michael Shannon will discuss information security.,Cloud Computing,https://google.com
Percipio_e783fcc9-555a-4a5d-98be-bb02251be7fe,Happy Hours: More People Drinking While Working from Home During COVID-19,Document,Online Content,1,en-us,,,"In a new survey, about one-third of people in the United States reported that they drink while working from home. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Cybersecurity Career Journey,https://google.com
Percipio_e8512856-3930-417b-8e92-a7f53ecab4bf,Data Science for Managers Bootcamp: Live Session 2,Document,Online Content,0,en-us,10800,,Click here to enter the live session on June 23rd at 11 AM ET. In this session Sandip Panesar discusses the uses of data.,Computer Skills,https://google.com
Percipio_e993b8b6-25ab-4463-8b13-1a6ad10e01de,CISSP January 2022 Bootcamp: Live Session 4,Document,Online Content,0,en-us,14400,,Click here to register for the live session on January 13th at 11 AM EST. In this session Michael Shannon will discuss information security.,Business Continuity,https://google.com
Percipio_e9e52097-28c2-4314-af62-d011c1ea3932,Home-Schooling Q&A with TC's Roberta Lenger Kang,Document,Online Content,1,en-us,,,"Virtual education expert Roberta Lenger Kang, Director of TC's Center for the Professional Education of Teachers (CPET), joined television station NY1 to answer questions from parents to make the transition easier. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Business Operations,https://google.com
Percipio_ea1872e6-4ff2-4b12-88e4-413f20847ea0,CISSP Bootcamp: Live Session 4,Document,Online Content,0,en-us,14400,,Click here to enter the live session on December 2nd at 11 AM EST. In this session Michael Shannon will discuss information security.,Cloud,https://google.com
Percipio_eaa85315-4c53-40eb-b947-4e536b5353e7,Creating a Better Normal,Document,Online Content,0,en-us,3600,,"Maybe current HR and leadership practices have never been all that impactful and relevant, but the challenges of today have certainly rendered them unfit – and that was even before the current crisis! Join Lucy Adams as she presents the case for how leaders and HR professionals can make sure they don’t just go back to normal – but use the crisis to springboard into something better – a better normal! You’ll learn:• How HR and leadership practices need to change fundamentally to keep pace with the needs of our organizations and our people• How the practices that we have seen during the crisis can be built upon to ensure that they create something better in the future• Practical examples of how progressive organizations are already implementing these new trends• How leaders and HR can become more agile, more responsive, and more credible by changing the way they work and deliver",Cloud Security,https://google.com
Percipio_eadd2c6d-c1e9-484c-b08d-6900ad718aba,Introduction to Scrum for the Team Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,"Click here to enter the live session on August 20th at 11 AM ET. In this session,  Barabara Waters will introduce the Scrum framework, the role of the Scrum Master, Product Owner, and Development team, Scrum meetings/events, tools and techniques, and the continuous delivery of value using short Sprints.   Click here at the scheduled date/time to enter the live session.",Client & Server Administration,https://google.com
Percipio_ece31498-4e80-4ef1-97fb-484a0bc1272d,8 Tips to Help Your Child Focus and Stay Engaged During Distance Learning,Document,Online Content,1,en-us,,,Here are eight tips to help your child maintain focus and stay engaged during this time of distance learning. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.,Codecademy Subjects,https://google.com
Percipio_ed7235ff-e3b2-4ad6-aa12-53958451cd62,Sustainability and Restoring Our Earth,Document,Online Content,1,en-us,,,"In today's business world, sustainability is no longer a nice-to-have, but a strategic necessity. The pressures on companies to be more socially, environmentally, and economically sustainable are mounting on many fronts. Consumers and shareholders expect more than mere lip service - they want demonstrated commitment. And that's where Skillsoft's Sustainability and Restoring Our Earth Journey comes in. This three-track Journey provides a roadmap for broadening the knowledge and skills you need to understand how business sustainability works and then take steps to make it part of your, and your organization's, vision, and strategy. You'll learn about aligning business strategies with sustainability efforts, remaining financially successful while becoming socially and environmentally responsible. You'll explore how to sustainable practices can unleash creativity that leads to innovation, and how protecting the future can lead to competitive advantage in the marketplace. Each learning track in the Journey comprises a carefully curated set of resources chosen by subject matter experts and thought leaders, taking advantage of multi-modal learning tools. These include Skillsoft courses, expert videos, and book excerpts. You'll have access to resources that don't just introduce you to the key skills and competencies you need to master the challenges of sustainability, but also let you dive into them as deeply as you desire, using the core instruction in the journey as a springboard to your ongoing personal and professional growth.",Core,https://google.com
Percipio_ef2e8458-5586-4b10-8338-55906784a61e,Data Science for Managers Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,Click here to enter the live session on June 22nd at 11 AM ET. In this session Sandip Panesar discusses the importance of data.,Crisis Management,https://google.com
Percipio_efec5fb7-0c76-437a-ae8a-8bc551c93835,PMP ATP - September/October/November UK and APAC Cohort: Live Session 8,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on November 16th at 9 AM BST/6 PM AEST.,CompTIA,https://google.com
Percipio_f3131548-72e8-4f7c-bce5-b6618fed7da4,Thriving in Anxious Times: Manage your Anxiety and Learn to Love Your Work Again,Document,Online Content,0,en-us,3600,,"The Live Session has now ended. The recording will be available soon. In the meantime, we invite you to share your feedback by clicking Watch to launch the feedback survey. If you’re feeling anxious right now, you’re not alone. The world is scary, and new ways of working bring tremendous uncertainty. Left unchecked, anxiety creates burnout and drives poor decision-making.  But here’s the good news: Understanding your anxiety is a leadership strength! If you know how to manage it, anxiety can motivate us to be better colleagues and leaders. We will be more productive, creative, and able to work through challenges. Anxious person, business owner, author of Hiding in the Bathroom and host of HBR’s The Anxious Achiever podcast Morra Aarons-Mele will help you stop avoiding your anxiety--- and learn to thrive because of it.",Concur,https://google.com
Percipio_f3169e52-45d3-4282-b243-24373c17e0d3,Data Analysis for Business Professionals Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,Click here to enter the live session on August 12th at 11 AM EDT.,C#,https://google.com
Percipio_f3bc42f5-2924-4707-9a7b-34283e9513b1,Administrative Assistant Journey,Document,Online Content,1,en-us,,,"It can go by many names, such as office administrator, office assistant, personal assistant, or administrative assistant, but to achieve professional success and enhance the value of your role, you need to optimize your knowledge of administrator essentials. Mastering skills that every administrative professional needs to perform will prepare you for handling wide-ranging and ever-changing tasks, including managing files, routing phone calls and emails, working with schedules, and more. Administrative assistants can help a company succeed by keeping things on track. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Administrative Assistant within organizations.",Civil,https://google.com
Percipio_f47cce47-53e2-4d25-b448-a5154efc0ebb,Corporate Trainer Journey,Document,Online Content,1,en-us,,,"A corporate trainer is responsible for the transfer of knowledge to employees, and who ensures that employees have the knowledge and skills they need to excel in their roles. Learning and development can help employees achieve their goals and increase productivity. Learn more about the skills and competencies required by corporate trainers. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Corporate Trainer within organizations.",Corporate Marketing,https://google.com
Percipio_f4981b17-7015-45b8-aa02-49f6f6416d14,PMP ATP -January/February/March UK and APAC Cohort: Live Session 2,Document,Online Content,0,en-us,14400,,Click here to register for the Live session on January 25th at 9 AM GMT/7 PM AEST.,Business Execution,https://google.com
Percipio_f512334c-435c-4fd1-bac0-9d047b682992,Public Relations Manager Journey,Document,Online Content,1,en-us,,,"Public relations (PR) has always been a balance of persuasion, information, and communication - but these terms imply a one-sided relationship. The rise of social media and lightning-fast news cycles requires that modern public relation professionals engage more with their audiences and build and maintain relationships. Public relations (PR) professionals are vital for connecting with your audience and conveying your key brand messages in a clear and engaging manner. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Public Relations Manager within organizations.",Cloud Career Journey,https://google.com
Percipio_f55413cf-8f20-4103-a964-2715be0d1286,Power BI Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,Click here to enter the live session on July 19th at 11 AM ET. ,Browse Partner Content,https://google.com
Percipio_f669b9a6-664c-44cf-987e-f94ae78f68a8,MIT SMR: Skillsoft: Customer Experience Considerations for Tech Leaders,Document,Online Content,0,en-us,3520,,"In this on-demand panel presentation and discussion, the speakers explain how leaders should approach the investments that both enable and enhance customer service through digital self-service experiences. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Cloud,https://google.com
Percipio_f6f3abcf-98df-46f1-a2dd-86c75bc0f4a0,PMP ATP Bootcamp: February/March/April: Live Session,Document,Online Content,0,en-us,16200,,Click here to enter the Live session at 1 PM Eastern.,Communication,https://google.com
Percipio_f9e68c0d-e7c7-434d-816d-c20c77ead027,"Global Perspectives on Race, Ethnicity, and Equity: Malaysia, Singapore, and India",Document,Online Content,0,en-us,5400,,"LIVE on September 16, 2021 How is your organization addressing hot topic issues like social justice in a global context? During this Leadercamp, Aperian Global's DEI and Inclusive Leadership Practitioners will address race, ethnicity and equity in a cross-border context. The session will provide workable entry-points for advancing the inclusion and equity dialogue outside of your home country, with a closer look at DEI factors in Malaysia, Singapore and India. You will leave the session with a heightened appreciation for culture-bound nuances of DEI work as well as ideas for: • Inviting and integrating new perspectives to address marginalization • Balancing corporate values and initiatives with local realities • Using a multi-layered approach to enable employees to better understand each other and work together more effectively",Core,https://google.com
Percipio_fb12156e-15f6-4fb3-aae9-cbeb7e752b4b,LeSS(r) Port of Rotterdam Case Study,Document,Online Content,1,en-us,,,"This is a comparison of a Port of Rotterdam case with LeSS principles and organizational design. It is a story about four cross-functional feature teams (that also did operations; i.e., DevOps) delivering and managing a business-critical 24/7 harbour management product used by vessel-traffic services operators and several other types of users.",Business Skills,https://google.com
Percipio_fb44fa52-d15d-4c4d-b900-771dbdfc32a5,Customer Service Representative Journey,Document,Online Content,1,en-us,,,"Success is both an outcome and a mindset. Customer service professionals who wish to provide a truly exceptional level of customer service approach each interaction with the right mindset and attitude. Since customer needs lie at the heart of every service interaction, CSR's must be able to identify both their stated and unstated needs whether by phone, e-mail, live chat, in person, or by other methods. Customer support professionals use a combination of skills to analyze beyond the stated requirements to uncover the full spectrum of customer needs. This Journey is based on real-time market information from Burning Glass Technologies and focuses on the role of the Customer Service Representative (CSR) within organizations.",Cybersecurity,https://google.com
Percipio_fc4d6225-a6ad-4185-9224-c61c5d5d5b87,Introduction to Tableau Bootcamp: Live Session 3,Document,Online Content,0,en-us,10800,,Click here to register for the Tableau Bootcamp live session on December 16th from 11 AM - 2:00 PM EDT.,Compliance,https://google.com
Percipio_fcde2584-37d9-4795-aa51-e34a62e9b908,Building Resilience in Your Personal and Professional Life,Document,Online Content,1,en-us,,,"It's easy during pandemic and crisis to give into the isolation and fear that comes with pandemic and crisis. Therefore, we must do what we can to stay productive, positive, and professional. A crisis presents new challenges and creates new opportunities for leaders to cultivate a growth mindset. Learn more about preparing for pandemic and crisis through mindsets, teamwork, and more. With the right mindset, you can learn to make the best of these difficult times and seize the opportunity to improve yourself and your team.",Coordinators,https://google.com
Percipio_fe9a490b-f223-43ab-8326-029e1a13107b,How to Change: Adapting for a Post-Pandemic World,Document,Online Content,0,en-us,3600,,"If the pandemic has taught us anything, it's how vital it is to adapt. But why is change so hard? And how can we diagnose complacency and conquer our goals? As we begin to rebuild, we turn to award-winning behavioral scientist and Wharton professor KATY MILKMAN, who has devoted her career to understanding change. Milkman uses science, humor, and real-world stories from her groundbreaking book How to Change to show us how we can overcome our most difficult obstacles. The result is a science-based blueprint for adapting our behavior (and the behavior of those we lead, manage and coach) to the demands of the post-pandemic world.",Business Intelligence,https://google.com
"Policies & Procedures_Corporate Policies, HR Documents and Compliance_Library","Corporate Policies, HR Documents and Compliance",Document,Online Content,1,,,,"This link will take you to the AGG Intranet where you can click on ""Corporate Policies, HR Documents and Compliance"" to access the files.",Virtual Teams,https://google.com
Policies & Procedures_AGGMO Policies and Procedures_Library,AGGMO Policies and Procedures,Document,Online Content,1,,,,Links to HR and Safety policies and procedures,Customer Service,https://google.com
Reference_Compliance_Case Book on Compliance (Toyoda Gosei Americas)_Library,Case Book on Compliance (Toyoda Gosei Americas),Document,Online Content,1,,,, Improve corporate integrity by providing all levels of team members with “real life” scenarios of compliance situations.,Cal/OSHA Latin American Spanish,https://google.com
Requirement_10 Day Mentee Touchback Survey,10 Day Mentee Touchback Survey,Document,Online Content,0,,900,,This survey is taken by new employees after ten days of employment at AGG.,Cybersecurity,https://google.com
Requirement_25 Day Mentee Touchback Survey,25 Day Mentee Touchback Survey,Document,Online Content,0,,900,,This survey is taken by new employees after twenty-five days of employment at AGG.,Cloud,https://google.com
Requirement_Box Truck Safety Instruction,Box Truck Safety Instruction,Document,Online Content,1,,600,,Properly chock and set parking break on box trucks.,Data,https://google.com
Requirement_Document Control Procedure,Document Control Procedure,Document,Online Content,1,,900,,"Follow this procedure to identify, implement, distribute, maintain, and recall controlled documents.",Chemical,https://google.com
Requirement_FMEA Example & Scoring Criteria,FMEA Example & Scoring Criteria,Document,Online Content,1,,900,,Print this document to utilize during the Failure Mode & Effects Analysis (FMEA) training. This document provides an example FMEA and scoring criteria that are used to determine the severity of issues.,Business Continuity Planning Bootcamps,https://google.com
Requirement_Glacial Acetic Acid (GAA) Work Instruction,Glacial Acetic Acid (GAA) Work Instruction,Document,Online Content,1,,900,,"Follow all safety protocols, as outlined in this work instruction, when performing GAA testing. This training conforms with OSHA audit recommendations.",Cloud Development,https://google.com
Requirement_Handwritten Changes on Controlled Documents,Handwritten Changes on Controlled Documents,Document,Online Content,1,,300,,Know the requirements for handwritten changes on controlled documents (1-year Recertification). This training complies with IATF standards.,Cloud Basics,https://google.com
Requirement_iWarehouse Training (Operators),iWarehouse Training for Operators,Document,Online Content,1,,300,,Know how to utilize the iWarehouse (iMonitor) system on forklifts.,Cloud Services,https://google.com
Requirement_Mold Material Marking Standard,Mold Material Marking Standard,Document,Online Content,1,,300,,"Be alert to material markings in molds, which are governmental regulatory items.",Data / ML / AI,https://google.com
Requirement_Plating on Plastics (POP) - Part 1 LESSON,Plating on Plastics (POP) - Part 1 LESSON,Document,Online Content,0,,1800,,This course is required for technical employees in Chrome Department.,Cloud Services Bootcamps,https://google.com
Requirement_Plating on Plastics (POP) - Part 2 LESSON,Plating on Plastics (POP) - Part 2 LESSON,Document,Online Content,0,,1800,,This course is required for technical employees in Chrome Department.,Business Continuity Planning,https://google.com
Requirement_Special Characteristics Training,Special Characteristics Training,Document,Online Content,0,,600,,"Understand the purpose of AGG's Critical / Safety System, why AGG takes extra precautions with critical safety parts, and what you should do if you find or suspect an issue with a Safety Critical Item (1-year Recertification). This training complies with IATF standards.",Cloud Practitioner,https://google.com
Requirement_Static Grounding Standards,Static Grounding Standards,Document,Online Content,0,,900,,Prevent fires from static electricity by properly grounding metal parts.,Cybersecurity Career Journey,https://google.com
Requirement_AGGJ_Critical Safety Parts_Op&Maint,Critical Safety Parts Training (Operators & Maintenance),Document,Online Content,1,,1800,,Critical Safety Parts Training for Operators & Maintenance. Assigned by AGGJ 2022,Codecademy,https://google.com
Requirement_AGGJ_Critical Safety Parts_Op&Maint_textbook,Critical Safety Parts Training Textbook (Operators & Maintenance),Document,Online Content,1,,,,Critical Safety Parts Training Textbook,Data,https://google.com
Requirement_AGGJ_Critical Safety Parts_QC&PE,Critical Safety Parts Training (QC & PE),Document,Online Content,1,,1800,,Critical Safety Parts Training for QC & PE. Issued by AGGJ in 2022,Business Communication,https://google.com
Requirement_AGGJ_Critical Safety Parts_SV&TL,Critical Safety Parts Training (SV & TL),Document,Online Content,1,,1800,,Critical Safety Parts Training for Supervisors & Team Leaders,Codecademy Languages,https://google.com
Requirement_AGGNA_Cost_Management_Textbook,Cost Management Textbook,Document,Online Content,1,,,,Cost Management Textbook,Corporate Communications,https://google.com
Requirement_AGGNA_Design Work Rules Regulations,Design Work Rules (Regulations),Document,Online Content,1,,,,Design Work Rules (Regulations),Business Strategy,https://google.com
Requirement_AGGNA_Punch_Pictures,Punch Pictures (Practice),Document,Online Content,1,,,,Description of Punch Pictures,Cloud Platforms,https://google.com
Requirement_AGGNA_Resin Material,Plastic Molding,Document,Online Content,1,,,,Explanation of resin/plastic molds,Cloud Computing & Server Technology,https://google.com
Requirement_AGGNA_Resin Product Design Training for Engineers,Resin Product Design Basics for Engineers,Document,Online Content,1,,,,This material provides engineers with basic information for Vehicle Development and Product Design.,Codecademy,https://google.com
Requirement_AGGNA_Rubber Mold Textbook,Rubber Mold Textbook,Document,Online Content,1,,,,Rubber Mold Knowledge Check,Business Planning & Analysis,https://google.com
Requirement_AGGNA_Rubber_Materials_Textbook,Rubber Material Textbook,Document,Online Content,1,,,,Learning Materials for Rubber Materials,Business Skills,https://google.com
Requirement_AGGNA_WhatareMolds,What are Molds?,Document,Online Content,1,,,,Mold Education Materials: What are Molds?,Certifications,https://google.com
Requirement_Waste Water Permit Control Plan (EWI 4.6.43),Waste Water Permit Control Plan (EWI 4.6.43),Document,Online Content,1,,600,,"Recognize your role as outlined in the Waste Water Permit, and be aware of waste water limitations (1-Yr Recertification). This training complies with requirements set by AGGMO Management.",Data Analysis,https://google.com
Requirement_Work Instruction Completion Procedure,Work Instruction Completion Procedure,Document,Online Content,1,,900,,"Follow this procedure for completing a ""work instruction sheet"" properly.",Cisco WebEx,https://google.com
Resource_View Forklift Evaluation Form,View Forklift Evaluation Form,Document,Online Content,1,,,,Form that instructors use to evaluate your operating skills (No Recertification; Remediation if needed),Customer Service,https://google.com
Resource_View Forklift Evaluation Form for Remediation,View Forklift Evaluation Form for Remediation,Document,Online Content,1,,,,Form that instructors use to evaluate your operating skills (No Recertification; Remediation if needed),Data Analytics,https://google.com
