Curriculum ID*,Section Name,Child LO ID,Curriculum Title*,Vendor/Provider*,Provider type*,Active,Default Language,Subject IDs*,Description,Owners*,Created/Modified By,Keywords,Available Languages,Availability to All Users,Availability to Specific Users,Availability to OU‡,Availability OU Type,Register Upon Approval,Pre-Approved,Includes Subordinates,Curriculum Player,Recurrence,Thumbnail,Exclude from Course Recommendations,Training Purpose,Points,Badge,Emails
,Test Section for Succession Plan for Matt Buttke,Percipio_badfc56a-bb6b-4aa3-bb59-a67cb65f5146,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_c7049df7-1f28-458b-945d-5df8981332e3,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_cab58e44-fe0f-4407-9ab4-30b4c99dbd49,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_e0f132f0-268c-11e7-b28d-0242c0a80b06,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_f329b5e1-b614-46da-8d1e-fafd32956cc6,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Percipio_f963d988-66d1-4884-9d38-8e0bbaf1768c,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,Visual Management_The 7 Steps to Visual Management (AGG)_Library,Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,"Visual Management_Visual Management Example, Franciscan Health (AGG)_Library",Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,"Visual Management_Visual Management Example, In The Ditch Towing Products (AGG)_Library",Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Matt Buttke,"Visual Management_Visual Management Example, Zingerman's Mail Order (AGG)_Library",Succession Plan for Matt Buttke,Online Content,ONLINE,1,1,1333,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
