OU ID*,OU Name*,Active,Allow Reconciliation,Parent ID,Owner ID,Description,Req- Person ID Number,Critical Position,Plan Owner OU ID
ASK110137,Program Manager,1,0,,DefaultAdmin,This Job is for Program Manager Users only,,,
ASK110138,"Quality Engineer I, PT",1,0,,DefaultAdmin,"This Job is for Quality Engineer I, PT Users only",,,
ASK110140,Maintenance Team Member VI,1,0,,DefaultAdmin,This Job is for Maintenance Team Member VI Users only,,,
ASK220008,"Manager, Production",1,0,,DefaultAdmin,"This Job is for Manager, Production Users only",,,
ASK220009,"Manager, Engineering/Facilitie",1,0,,DefaultAdmin,"This Job is for Manager, Engineering/Facilitie Users only",,,
ASK220015,Process Engineer,1,0,,DefaultAdmin,This Job is for Process Engineer Users only,,,
ASK220021,Production Control Specialist,1,0,,DefaultAdmin,This Job is for Production Control Specialist Users only,,,
ASK330005,Controls Engineer,1,0,,DefaultAdmin,This Job is for Controls Engineer Users only,,,
ASK330015,Extrusion Team Leader,1,0,,DefaultAdmin,This Job is for Extrusion Team Leader Users only,,,
ASK330025,Human Resources Mgr,1,0,,DefaultAdmin,This Job is for Human Resources Mgr Users only,,,
ASK330044,Quality Manager,1,0,,DefaultAdmin,This Job is for Quality Manager Users only,,,
ASK330091,Extrusion Process Engineer,1,0,,DefaultAdmin,This Job is for Extrusion Process Engineer Users only,,,
ASK330116,Quality Specialist,1,0,,DefaultAdmin,This Job is for Quality Specialist Users only,,,
ASK330119,GM of Manufacturing,1,0,,DefaultAdmin,This Job is for GM of Manufacturing Users only,,,
ASK440024,Production Control Team Lead,1,0,,DefaultAdmin,This Job is for Production Control Team Lead Users only,,,
ASK440041,Maintenance Team Member,1,0,,DefaultAdmin,This Job is for Maintenance Team Member Users only,,,
ASK440042,Production Control Team Member,1,0,,DefaultAdmin,This Job is for Production Control Team Member Users only,,,
ASK440043,Production Team Member,1,0,,DefaultAdmin,This Job is for Production Team Member Users only,,,
ASK440054,HR Specialist,1,0,,DefaultAdmin,This Job is for HR Specialist Users only,,,
ASK440067,Maintenance Technician,1,0,,DefaultAdmin,This Job is for Maintenance Technician Users only,,,
ASK440070,Safety/Environ. Specialist,1,0,,DefaultAdmin,This Job is for Safety/Environ. Specialist Users only,,,
ASK550027,General Affairs,1,0,,DefaultAdmin,This Job is for General Affairs Users only,,,
ASK550047,PPCC SENIOR SPECIALIST,1,0,,DefaultAdmin,This Job is for PPCC SENIOR SPECIALIST Users only,,,
ASK550129,Engineering Assistant,1,0,,DefaultAdmin,This Job is for Engineering Assistant Users only,,,
ASK550140,EHS Specialist,1,0,,DefaultAdmin,This Job is for EHS Specialist Users only,,,
ASK550147,TPS Team Member,1,0,,DefaultAdmin,This Job is for TPS Team Member Users only,,,
ASK660003,Shipping Specialist,1,0,,DefaultAdmin,This Job is for Shipping Specialist Users only,,,
ASK660005,Safety Tech,1,0,,DefaultAdmin,This Job is for Safety Tech Users only,,,
ASK660007,Preproduction Planner,1,0,,DefaultAdmin,This Job is for Preproduction Planner Users only,,,
ASK660009,Administrator,1,0,,DefaultAdmin,This Job is for Administrator Users only,,,
ASK660021,Translator,1,0,,DefaultAdmin,This Job is for Translator Users only,,,
ASK660027,Supervisor,1,0,,DefaultAdmin,This Job is for Supervisor Users only,,,
ASK660036,Human Resources Generalist,1,0,,DefaultAdmin,This Job is for Human Resources Generalist Users only,,,
ASK660053,Quality Engineer I,1,0,,DefaultAdmin,This Job is for Quality Engineer I Users only,,,
ASK660107,Production Team Member,1,0,,DefaultAdmin,This Job is for Production Team Member Users only,,,
ASK660126,Intern,1,0,,DefaultAdmin,This Job is for Intern Users only,,,
ASK661628,"Specialist, Engineering Admin",1,0,,DefaultAdmin,"This Job is for Specialist, Engineering Admin Users only",,,
ASK661633,Shipping Team Member,1,0,,DefaultAdmin,This Job is for Shipping Team Member Users only,,,
ASK661639,Machine Programmer,1,0,,DefaultAdmin,This Job is for Machine Programmer Users only,,,
ASK880024,Maintenance Supervisor,1,0,,DefaultAdmin,This Job is for Maintenance Supervisor Users only,,,
ASK880119,Maintenance Team Leader,1,0,,DefaultAdmin,This Job is for Maintenance Team Leader Users only,,,
ASK880208,ASM Asst. Manager,1,0,,DefaultAdmin,This Job is for ASM Asst. Manager Users only,,,
ASK999994,Temp Agency Traveling,1,0,,DefaultAdmin,This Job is for Temp Agency Traveling Users only,,,
ASK999998,Temp Agency 1,1,0,,DefaultAdmin,This Job is for Temp Agency 1 Users only,,,
ASK999999,Temp Agency,1,0,,DefaultAdmin,This Job is for Temp Agency Users only,,,
ASKE77126,Specialist - HR,1,0,,DefaultAdmin,This Job is for Specialist - HR Users only,,,
Contractor_Manual Build,Contractor (not in payroll system),1,0,,DefaultAdmin,This Job is for Contractor (not in payroll system) Users only,,,
E55007,Coordinator,1,0,,DefaultAdmin,This Job is for Coordinator Users only,,,
E55008,SR COORDINATOR,1,0,,DefaultAdmin,This Job is for SR COORDINATOR Users only,,,
E55060,Senior Coordinator,1,0,,DefaultAdmin,This Job is for Senior Coordinator Users only,,,
E66967,Coordinator,1,0,,DefaultAdmin,This Job is for Coordinator Users only,,,
E77161,Engineer,1,0,,DefaultAdmin,This Job is for Engineer Users only,,,
E77232,VP - Senior,1,0,,DefaultAdmin,This Job is for VP - Senior Users only,,,
ET1,Engineering Tech I,1,0,,DefaultAdmin,This Job is for Engineering Tech I Users only,,,
EX550007,Coordinator,1,0,,DefaultAdmin,This Job is for Coordinator Users only,,,
EXE55007,Coordinator,1,0,,DefaultAdmin,This Job is for Coordinator Users only,,,
EXE55008,SR COORDINATOR,1,0,,DefaultAdmin,This Job is for SR COORDINATOR Users only,,,
EXE55048,President,1,0,,DefaultAdmin,This Job is for President Users only,,,
EXE55060,Senior Coordinator,1,0,,DefaultAdmin,This Job is for Senior Coordinator Users only,,,
EXE66967,Coordinator,1,0,,DefaultAdmin,This Job is for Coordinator Users only,,,
EXE77032,GM,1,0,,DefaultAdmin,This Job is for GM Users only,,,
EXE77232,VP - Senior,1,0,,DefaultAdmin,This Job is for VP - Senior Users only,,,
FS Corporate Advisor,Corporate Advisor,1,0,,DefaultAdmin,For Japanese Coordinators,,,
FS330001,Accounts Payable,1,0,,DefaultAdmin,This Job is for Accounts Payable Users only,,,
FS330002,Assembly Technician,1,0,,DefaultAdmin,This Job is for Assembly Technician Users only,,,
FS330005,Controls Engineer,1,0,,DefaultAdmin,This Job is for Controls Engineer Users only,,,
FS330006,Co-Op Student Maintenance,1,0,,DefaultAdmin,This Job is for Co-Op Student Maintenance Users only,,,
FS330008,Controls Technician,1,0,,DefaultAdmin,This Job is for Controls Technician Users only,,,
FS330012,Engineering Technician,1,0,,DefaultAdmin,This Job is for Engineering Technician Users only,,,
FS330013,Executive Assistant,1,0,,DefaultAdmin,This Job is for Executive Assistant Users only,,,
FS330015,Extrusion Team Leader,1,0,,DefaultAdmin,This Job is for Extrusion Team Leader Users only,,,
FS330016,Extrusion Tech 1,1,0,,DefaultAdmin,This Job is for Extrusion Tech 1 Users only,,,
FS330017,Extrusion Tech 2,1,0,,DefaultAdmin,This Job is for Extrusion Tech 2 Users only,,,
FS330018,Extrusion Tech 3,1,0,,DefaultAdmin,This Job is for Extrusion Tech 3 Users only,,,
FS330020,Extrustion Technician,1,0,,DefaultAdmin,This Job is for Extrustion Technician Users only,,,
FS330023,HR Generalist III,1,0,,DefaultAdmin,This Job is for HR Generalist III Users only,,,
FS330025,Human Resources Mgr,1,0,,DefaultAdmin,This Job is for Human Resources Mgr Users only,,,
FS330026,Kettering Eng Tech,1,0,,DefaultAdmin,This Job is for Kettering Eng Tech Users only,,,
FS330027,Logistics Team Leader,1,0,,DefaultAdmin,This Job is for Logistics Team Leader Users only,,,
FS330028,Logistics Technician,1,0,,DefaultAdmin,This Job is for Logistics Technician Users only,,,
FS330031,ME Process Improvement,1,0,,DefaultAdmin,This Job is for ME Process Improvement Users only,,,
FS330033,Manufacturing Supervisor,1,0,,DefaultAdmin,This Job is for Manufacturing Supervisor Users only,,,
FS330034,Material Handler,1,0,,DefaultAdmin,This Job is for Material Handler Users only,,,
FS330035,Materials Manager,1,0,,DefaultAdmin,This Job is for Materials Manager Users only,,,
FS330036,Mfg Manager,1,0,,DefaultAdmin,This Job is for Mfg Manager Users only,,,
FS330037,MFG Systems Improvement Mgr,1,0,,DefaultAdmin,This Job is for MFG Systems Improvement Mgr Users only,,,
FS330039,Operations Assistant,1,0,,DefaultAdmin,This Job is for Operations Assistant Users only,,,
FS330040,President,1,0,,DefaultAdmin,This Job is for President Users only,,,
FS330042,Project Engineer,1,0,,DefaultAdmin,This Job is for Project Engineer Users only,,,
FS330043,Quality Inspector,1,0,,DefaultAdmin,This Job is for Quality Inspector Users only,,,
FS330044,Quality Manager,1,0,,DefaultAdmin,This Job is for Quality Manager Users only,,,
FS330045,Quality Team Leader,1,0,,DefaultAdmin,This Job is for Quality Team Leader Users only,,,
FS330047,Quality Technician,1,0,,DefaultAdmin,This Job is for Quality Technician Users only,,,
FS330049,Skill Trades Tech 1,1,0,,DefaultAdmin,This Job is for Skill Trades Tech 1 Users only,,,
FS330050,Skill Trades Tech 2,1,0,,DefaultAdmin,This Job is for Skill Trades Tech 2 Users only,,,
FS330051,Skill Trades Tech 3,1,0,,DefaultAdmin,This Job is for Skill Trades Tech 3 Users only,,,
FS330052,Skill Trades Tech 4,1,0,,DefaultAdmin,This Job is for Skill Trades Tech 4 Users only,,,
FS330055,Staff Accountant 2,1,0,,DefaultAdmin,This Job is for Staff Accountant 2 Users only,,,
FS330057,Team Leader,1,0,,DefaultAdmin,This Job is for Team Leader Users only,,,
FS330058,Test Technician,1,0,,DefaultAdmin,This Job is for Test Technician Users only,,,
FS330062,TPS Technician,1,0,,DefaultAdmin,This Job is for TPS Technician Users only,,,
FS330063,Tool Maker,1,0,,DefaultAdmin,This Job is for Tool Maker Users only,,,
FS330069,HR Co-op,1,0,,DefaultAdmin,This Job is for HR Co-op Users only,,,
FS330073,Operations Systems Engineer,1,0,,DefaultAdmin,This Job is for Operations Systems Engineer Users only,,,
FS330075,Facilities Engineer,1,0,,DefaultAdmin,This Job is for Facilities Engineer Users only,,,
FS330076,GM of Engineering,1,0,,DefaultAdmin,This Job is for GM of Engineering Users only,,,
FS330080,Environ Health & Safety Mgr,1,0,,DefaultAdmin,This Job is for Environ Health & Safety Mgr Users only,,,
FS330085,Quality Engineer,1,0,,DefaultAdmin,This Job is for Quality Engineer Users only,,,
FS330087,MSI Assistant,1,0,,DefaultAdmin,This Job is for MSI Assistant Users only,,,
FS330089,Logistics Supervisor,1,0,,DefaultAdmin,This Job is for Logistics Supervisor Users only,,,
FS330091,Extrusion Process Engineer,1,0,,DefaultAdmin,This Job is for Extrusion Process Engineer Users only,,,
FS330093,Process Engineering Manager,1,0,,DefaultAdmin,This Job is for Process Engineering Manager Users only,,,
FS330094,Prototype Technician,1,0,,DefaultAdmin,This Job is for Prototype Technician Users only,,,
FS330095,Supplier Quality Eng,1,0,,DefaultAdmin,This Job is for Supplier Quality Eng Users only,,,
FS330096,ME Design,1,0,,DefaultAdmin,This Job is for ME Design Users only,,,
FS330100,Engineering Coordinator,1,0,,DefaultAdmin,This Job is for Engineering Coordinator Users only,,,
FS330103,Extrusion Manager,1,0,,DefaultAdmin,This Job is for Extrusion Manager Users only,,,
FS330106,Engineer Manager,1,0,,DefaultAdmin,This Job is for Engineer Manager Users only,,,
FS330108,Extrusion Assistant,1,0,,DefaultAdmin,This Job is for Extrusion Assistant Users only,,,
FS330109,Cost Accountant,1,0,,DefaultAdmin,This Job is for Cost Accountant Users only,,,
